Country,Year,GHG,GHG_Cum,GHG_per_capita,Population,Final_Rank
Algeria,1990,90.73,90.7337,35.01417316,25912364,36
Algeria,1991,90.17,180.9049,33.95686503,26554277,36
Algeria,1992,90.32,271.2271,33.22919043,27180921,36
Algeria,1993,98.36,369.5881,35.39915116,27785977,36
Algeria,1994,96.69,466.2772,34.09137186,28362015,36
Algeria,1995,98.75,565.0236,34.16446688,28904300,36
Algeria,1996,99.59,664.6169,33.86051447,29411839,36
Algeria,1997,103.28,767.9001,34.55600172,29887717,36
Algeria,1998,108.18,876.0766,35.65956684,30336880,36
Algeria,1999,113.67,989.75,36.94596772,30766551,36
Algeria,2000,117.07,1106.8215,37.54209978,31183658,36
Algeria,2001,114.75,1221.5692,36.32441837,31590320,36
Algeria,2002,121.48,1343.052,37.9739076,31990387,36
Algeria,2003,126.41,1469.4611,39.02159125,32394886,36
Algeria,2004,129.7,1599.1658,39.52192789,32817225,36
Algeria,2005,134.54,1733.7079,40.44140224,33267887,36
Algeria,2006,140.71,1874.4212,41.692682,33749328,36
Algeria,2007,148.68,2023.097,43.39505162,34261971,36
Algeria,2008,153.69,2176.7904,44.14976287,34811059,36
Algeria,2009,163.85,2340.6401,46.28297044,35401790,36
Algeria,2010,165.59,2506.2306,45.9510682,36036159,36
Algeria,2011,171.75,2677.9797,46.77652928,36717132,36
Algeria,2012,175.88,2853.8586,46.97721469,37439427,36
Algeria,2013,187.27,3041.1265,49.04136017,38186135,36
Angola,1990,52.22,52.2201,46.92721967,11127870,39
Angola,1991,53.81,106.0343,46.90480173,11472173,39
Angola,1992,55.07,161.1087,46.47660966,11848971,39
Angola,1993,56.8,217.9038,46.37951541,12246786,39
Angola,1994,57.87,275.7771,45.75252226,12648483,39
Angola,1995,63.2,338.98,48.45635087,13042666,39
Angola,1996,63.77,402.7496,47.50159276,13424813,39
Angola,1997,64.53,467.2823,46.75454076,13801868,39
Angola,1998,67.64,534.9261,47.67506525,14187710,39
Angola,1999,67.68,602.605,46.34986906,14601983,39
Angola,2000,68.98,671.5875,45.80759561,15058638,39
Angola,2001,73.87,745.4536,47.46577911,15562791,39
Angola,2002,78.25,823.7037,48.57323192,16109696,39
Angola,2003,89.93,913.636,53.87806112,16691395,39
Angola,2004,95.73,1009.3669,55.34965743,17295500,39
Angola,2005,99.02,1108.3825,55.2784685,17912942,39
Angola,2006,105.92,1214.3046,57.12600842,18541467,39
Angola,2007,119.12,1333.4244,62.09371219,19183907,39
Angola,2008,127,1460.4258,64.00483494,19842251,39
Angola,2009,137.17,1597.5909,66.84664302,20520103,39
Angola,2010,147.69,1745.2785,69.59958537,21219954,39
Angola,2011,151.12,1896.3981,68.87155291,21942296,39
Angola,2012,150.53,2046.9305,66.35477469,22685632,39
Angola,2013,155.72,2202.6525,66.41020919,23448202,39
Argentina,1990,233.1,233.0957,71.21963083,32729740,21
Argentina,1991,237.53,470.6273,71.55828537,33193920,21
Argentina,1992,241.88,712.509,71.87013197,33655149,21
Argentina,1993,242.05,954.5591,70.95969759,34110912,21
Argentina,1994,252.17,1206.7302,72.96983857,34558114,21
Argentina,1995,253.81,1460.5425,72.52788113,34994818,21
Argentina,1996,262.94,1723.485,74.23555993,35419683,21
Argentina,1997,266.91,1990.3907,74.48519861,35833965,21
Argentina,1998,268.59,2258.9797,74.11101139,36241578,21
Argentina,1999,275.34,2534.3245,75.13086507,36648054,21
Argentina,2000,277.51,2811.8327,74.88642028,37057453,21
Argentina,2001,271.28,3083.1133,72.39628694,37471535,21
Argentina,2002,263.98,3347.0928,69.67112185,37889443,21
Argentina,2003,284.23,3631.3273,74.19313368,38309475,21
Argentina,2004,299.12,3930.447,77.23455669,38728778,21
Argentina,2005,302.67,4233.1185,77.31924987,39145491,21
Argentina,2006,316.23,4549.352,79.93933074,39558750,21
Argentina,2007,326.83,4876.1848,81.76902506,39969903,21
Argentina,2008,335.52,5211.7064,83.08681175,40381860,21
Argentina,2009,319.77,5531.4769,78.37761067,40798641,21
Argentina,2010,320.16,5851.6344,77.66561648,41222875,21
Argentina,2011,328.2,6179.8297,78.78889608,41655616,21
Argentina,2012,332.26,6512.0929,78.93056942,42095224,21
Argentina,2013,334.24,6846.3303,78.57388955,42538304,21
Australia,1990,478.21,478.2095,280.2268958,17065100,11
Australia,1991,477.08,955.2931,276.0240685,17284000,11
Australia,1992,477.08,1432.3712,272.6950557,17495000,11
Australia,1993,478.38,1910.7557,270.7760231,17667000,11
Australia,1994,485.48,2396.2326,271.9014282,17855000,11
Australia,1995,493.13,2889.3609,272.8696326,18072000,11
Australia,1996,495.63,3384.9932,270.6733657,18311000,11
Australia,1997,501.98,3886.9719,271.0914295,18517000,11
Australia,1998,529.98,4416.9514,283.2451499,18711000,11
Australia,1999,566,4982.9504,299.0594949,18926000,11
Australia,2000,588.02,5570.9711,307.0119564,19153000,11
Australia,2001,594.77,6165.7389,306.3771699,19413000,11
Australia,2002,593.98,6759.7212,302.2583633,19651400,11
Australia,2003,537.1,7296.8185,269.9619007,19895400,11
Australia,2004,583.96,7880.7744,290.1318601,20127400,11
Australia,2005,558.65,8439.4217,273.9178614,20394800,11
Australia,2006,593.3,9032.7241,286.6474377,20697900,11
Australia,2007,593.22,9625.9397,284.8239836,20827600,11
Australia,2008,573.52,10199.4607,269.9019257,21249200,11
Australia,2009,587.8,10787.2624,270.9792225,21691700,11
Australia,2010,561.62,11348.8838,254.913931,22031750,11
Australia,2011,646.98,11995.8609,289.6057766,22340024,11
Australia,2012,648.66,12644.5191,285.3980777,22728254,11
Australia,2013,580.1,13224.6188,250.9370342,23117353,11
Bangladesh,1990,84.93,84.934,8.01353906,105983136,37
Bangladesh,1991,85.15,170.0834,7.847226237,108509679,37
Bangladesh,1992,86.99,257.0704,7.83782247,110987459,37
Bangladesh,1993,88.23,345.2984,7.777518439,113442354,37
Bangladesh,1994,90.6,435.8988,7.816159107,115913710,37
Bangladesh,1995,95.7,531.5957,8.080875087,118427768,37
Bangladesh,1996,96.51,628.1093,7.976881904,120987124,37
Bangladesh,1997,98.89,726.9976,8.002485505,123574107,37
Bangladesh,1998,99.06,826.0567,7.851337671,126169583,37
Bangladesh,1999,103.22,929.2784,8.017319461,128746273,37
Bangladesh,2000,106.06,1035.3373,8.078869818,131280739,37
Bangladesh,2001,111.24,1146.5765,8.315388917,133776064,37
Bangladesh,2002,114.5,1261.0739,8.404998732,136228456,37
Bangladesh,2003,115.78,1376.8493,8.353524866,138600174,37
Bangladesh,2004,117.41,1494.2634,8.336186021,140843786,37
Bangladesh,2005,121.67,1615.933,8.512559846,142929979,37
Bangladesh,2006,126.72,1742.656,8.749010403,144839238,37
Bangladesh,2007,129.55,1872.2074,8.837412196,146592687,37
Bangladesh,2008,139.81,2012.0156,9.430534086,148252473,37
Bangladesh,2009,144.21,2156.2278,9.620039076,149905836,37
Bangladesh,2010,152.5,2308.7245,10.05825365,151616777,37
Bangladesh,2011,158.14,2466.868,10.30861896,153405612,37
Bangladesh,2012,162,2628.871,10.43428613,155257387,37
Bangladesh,2013,163.63,2792.5008,10.41185501,157157394,37
Brazil,1990,556.36,556.3648,36.99370788,150393143,6
Brazil,1991,574.56,1130.9207,37.57336046,152916852,6
Brazil,1992,584.94,1715.8622,37.64601176,155379009,6
Brazil,1993,594.54,2310.3991,37.67388863,157812220,6
Brazil,1994,610.95,2921.3462,38.12230522,160260508,6
Brazil,1995,636.38,3557.7241,39.10047549,162755054,6
Brazil,1996,645.41,4203.135,39.04402188,165303155,6
Brazil,1997,672.7,4875.8308,40.06698638,167893835,6
Brazil,1998,692.9,5568.7331,40.63536802,170516482,6
Brazil,1999,705.38,6274.1087,40.73736702,173153066,6
Brazil,2000,721.78,6995.89,41.06004968,175786441,6
Brazil,2001,744.26,7740.1533,41.71407463,178419396,6
Brazil,2002,765.52,8505.6746,42.28327194,181045592,6
Brazil,2003,777.7,9283.3733,42.35208135,183627339,6
Brazil,2004,814.9,10098.2716,43.78443608,186116363,6
Brazil,2005,827.54,10925.8129,43.90616176,188479240,6
Brazil,2006,826.22,11752.0371,43.32604201,190698241,6
Brazil,2007,854.5,12606.5392,44.32409799,192784521,6
Brazil,2008,869.07,13475.606,44.62039105,194769696,6
Brazil,2009,856.26,14331.8635,43.53097863,196701298,6
Brazil,2010,931.76,15263.6215,46.91305871,198614208,6
Brazil,2011,954.82,16218.446,47.61776902,200517584,6
Brazil,2012,991.86,17210.3039,49.0045572,202401584,6
Brazil,2013,1017.87,18228.1784,49.83222875,204259377,6
Canada,1990,560.04,560.0403,201.5184772,27791000,7
Canada,1991,555.74,1115.7801,197.2690165,28171682,7
Canada,1992,570.52,1686.3023,200.0449025,28519597,7
Canada,1993,571.1,2257.4037,198.0688375,28833410,7
Canada,1994,591,2848.3997,203.0097239,29111906,7
Canada,1995,606.74,3455.1376,206.697554,29354000,7
Canada,1996,624.21,4079.3495,210.3707548,29671900,7
Canada,1997,640.24,4719.5901,213.5044286,29987200,7
Canada,1998,650.31,5369.9016,214.9934376,30247900,7
Canada,1999,658.88,6028.786,216.0318959,30499200,7
Canada,2000,679.76,6708.5415,220.918631,30769700,7
Canada,2001,672.67,7381.213,216.4185587,31081900,7
Canada,2002,681.44,8062.6514,217.2820611,31362000,7
Canada,2003,702.38,8765.0313,221.7388559,31676000,7
Canada,2004,696.69,9461.7261,217.7496484,31995000,7
Canada,2005,708.34,10170.0663,219.2188661,32312000,7
Canada,2006,695.42,10865.4816,213.5121945,32570505,7
Canada,2007,731.75,11597.2329,222.4980546,32887928,7
Canada,2008,716.99,12314.2248,215.6635071,33245773,7
Canada,2009,685.11,12999.3322,203.7285498,33628571,7
Canada,2010,699.52,13698.8519,205.7092673,34005274,7
Canada,2011,713.36,14412.2103,207.7176047,34342780,7
Canada,2012,718.57,15130.7764,206.7739511,34751476,7
Canada,2013,738.38,15869.1589,210.0325756,35155499,7
Chile,1990,46.78,46.7818,35.59796128,13141202,40
Chile,1991,45.75,92.533,34.2592594,13354054,40
Chile,1992,48.11,140.6424,35.46119678,13566942,40
Chile,1993,49.44,190.0853,35.88153172,13778676,40
Chile,1994,53,243.0894,37.88962238,13987999,40
Chile,1995,56.49,299.5772,39.79854567,14193986,40
Chile,1996,62.63,362.2022,43.50507988,14396020,40
Chile,1997,69.37,431.5757,47.53300484,14594070,40
Chile,1998,70.04,501.6184,47.36077612,14788609,40
Chile,1999,72.13,573.7484,48.14931213,14980484,40
Chile,2000,68.19,641.9427,44.94941362,15170387,40
Chile,2001,66.55,708.4941,43.33128581,15358418,40
Chile,2002,67.59,776.0865,43.48146624,15544554,40
Chile,2003,68.89,844.9777,43.79733373,15729268,40
Chile,2004,74.68,919.6576,46.92983192,15913119,40
Chile,2005,75.8,995.4577,47.0907748,16096571,40
Chile,2006,77.17,1072.6318,47.40251188,16279728,40
Chile,2007,85.12,1157.7487,51.70475975,16462701,40
Chile,2008,89.46,1247.2064,53.74283459,16645940,40
Chile,2009,86.39,1333.5962,51.33108777,16829957,40
Chile,2010,90.87,1424.4699,53.40566774,17015048,40
Chile,2011,97.54,1522.007,56.705,17201305,40
Chile,2012,99.83,1621.8363,57.41171561,17388437,40
Chile,2013,103.56,1725.3989,58.92181611,17575833,40
China,1990,3154.46,3154.4563,27.78806979,1135185000,2
China,1991,3301.9,6456.3527,28.69271277,1150780000,2
China,1992,3438.39,9894.7452,29.51483729,1164970000,2
China,1993,3665.44,13560.1898,31.10417162,1178440000,2
China,1994,3819.92,17380.1098,32.05074528,1191835000,2
China,1995,4205,21585.1144,34.9004652,1204855000,2
China,1996,4221.13,25806.2483,34.6690485,1217550000,2
China,1997,4252.72,30058.9665,34.57285125,1230075000,2
China,1998,4359.2,34418.1618,35.10006562,1241935000,2
China,1999,4293.66,38711.82,34.27428786,1252735000,2
China,2000,4480.39,43192.2134,35.48416222,1262645000,2
China,2001,4721.7,47913.9142,37.12466093,1271850000,2
China,2002,5051.08,52964.9892,39.44923461,1280400000,2
China,2003,5721.95,58686.9374,44.41128532,1288400000,2
China,2004,6521.66,65208.5967,50.31853866,1296075000,2
China,2005,7267.06,72475.6574,55.74095665,1303720000,2
China,2006,7932.78,80408.4374,60.50845906,1311020000,2
China,2007,8571.7,88980.1376,65.04133517,1317885000,2
China,2008,8752.41,97732.5471,66.07312847,1324655000,2
China,2009,9314.14,107046.6896,69.96484533,1331260000,2
China,2010,10108.23,117154.9195,75.56396963,1337705000,2
China,2011,11013.03,128167.9539,81.93426231,1344130000,2
China,2012,11250.4,139418.3505,83.29341561,1350695000,2
China,2013,11735.01,151153.3576,86.45338814,1357380000,2
Colombia,1990,116.65,116.6519,34.03696528,34271563,33
Colombia,1991,118.42,235.0724,33.91493543,34916770,33
Colombia,1992,121.98,357.0504,34.30385765,35558683,33
Colombia,1993,125.92,482.9664,34.78917215,36195170,33
Colombia,1994,127.88,610.8494,34.72778648,36823539,33
Colombia,1995,130.93,741.7821,34.96877035,37441980,33
Colombia,1996,131.85,873.6349,34.65264827,38049040,33
Colombia,1997,135.99,1009.6273,35.18917344,38645409,33
Colombia,1998,137.77,1147.3961,35.11489851,39234059,33
Colombia,1999,128.62,1276.0174,32.30093644,39819279,33
Colombia,2000,132.01,1408.0242,32.67254083,40403959,33
Colombia,2001,132.23,1540.2501,32.25994622,40988909,33
Colombia,2002,131.18,1671.4289,31.55451851,41572493,33
Colombia,2003,132.76,1804.1893,31.49543011,42152147,33
Colombia,2004,133.97,1938.1615,31.35696744,42724157,33
Colombia,2005,138.85,2077.0086,32.07761577,43285636,33
Colombia,2006,139.78,2216.785,31.88721971,43835744,33
Colombia,2007,143.55,2360.3375,32.34955311,44374647,33
Colombia,2008,144.49,2504.8241,32.17921119,44901660,33
Colombia,2009,148.67,2653.4894,32.73496048,45416276,33
Colombia,2010,151.67,2805.1618,33.03054715,45918101,33
Colombia,2011,154.69,2959.852,33.33373127,46406446,33
Colombia,2012,150.94,3110.7871,32.19639983,46881018,33
Colombia,2013,159.58,3270.3708,33.70765418,47342363,33
Egypt,1990,123.34,123.3388,21.86985176,56397273,28
Egypt,1991,127.76,251.0961,22.14601853,57689828,28
Egypt,1992,131.9,382.9935,22.38551979,58922018,28
Egypt,1993,133.22,516.2124,22.16330161,60108373,28
Egypt,1994,127.72,643.9348,20.84446966,61272847,28
Egypt,1995,135.83,779.7628,21.75559046,62434527,28
Egypt,1996,142.78,922.5473,22.45122853,63595629,28
Egypt,1997,152.18,1074.7299,23.50104547,64754566,28
Egypt,1998,159.49,1234.2245,24.19351438,65922626,28
Egypt,1999,168.15,1402.3734,25.05480431,67112877,28
Egypt,2000,168.61,1570.9853,24.67406664,68334905,28
Egypt,2001,182.28,1753.262,26.18967587,69599945,28
Egypt,2002,187.44,1940.7055,26.43398815,70908710,28
Egypt,2003,195.69,2136.3954,27.0860111,72247626,28
Egypt,2004,207.44,2343.8403,28.18628843,73596068,28
Egypt,2005,227.57,2571.4066,30.36610323,74942115,28
Egypt,2006,235.49,2806.8959,30.87410128,76274285,28
Egypt,2007,251.19,3058.0837,32.36762342,77605327,28
Egypt,2008,262.35,3320.4373,33.21890128,78976122,28
Egypt,2009,265.79,3586.2226,33.04101543,80442443,28
Egypt,2010,267.6,3853.8193,32.61783981,82040994,28
Egypt,2011,274.99,4128.8093,32.81987889,83787634,28
Egypt,2012,287.64,4416.45,33.57891328,85660902,28
Egypt,2013,272.38,4688.8285,31.08867109,87613909,28
France,1990,492.73,492.7267,84.20891371,58512808,15
France,1991,518.88,1011.6075,88.6075984,58559312,15
France,1992,502.19,1513.8019,85.33213655,58851216,15
France,1993,482.86,1996.6625,81.69284714,59106766,15
France,1994,479.56,2476.2183,80.83308305,59327194,15
France,1995,488.66,2964.8763,82.0699373,59541900,15
France,1996,504.05,3468.9228,84.35545886,59753098,15
France,1997,493.57,3962.4898,82.30989341,59964845,15
France,1998,511.63,4474.1187,85.00773041,60186291,15
France,1999,504.75,4978.8697,83.43428234,60496715,15
France,2000,498.73,5477.5991,81.87646483,60912498,15
France,2001,501.84,5979.4348,81.78960426,61357431,15
France,2002,493.83,6473.2687,79.90095731,61805267,15
France,2003,498.08,6971.345,80.01942778,62244884,15
France,2004,498.56,7469.9068,79.5089417,62704897,15
France,2005,498.11,7968.0119,78.84062636,63179356,15
France,2006,488.82,8456.8306,76.83266706,63621376,15
France,2007,481.55,8938.3759,75.22311256,64016229,15
France,2008,475.9,9414.2767,73.92622508,64374990,15
France,2009,456.46,9870.7327,70.54255175,64707044,15
France,2010,462.68,10333.4163,71.1514228,65027512,15
France,2011,432.76,10766.1715,66.22920336,65342776,15
France,2012,435.61,11201.7799,66.34349577,65659790,15
France,2013,440.85,11642.6284,66.82370579,65972097,15
Germany,1990,1154.11,1154.1051,145.2934648,79433029,5
Germany,1991,1124.88,2278.9863,140.5855803,80013896,5
Germany,1992,1077.85,3356.8365,133.6874883,80624598,5
Germany,1993,1067.83,4424.6664,131.5768672,81156363,5
Germany,1994,1054.47,5479.1406,129.4807699,81438348,5
Germany,1995,1048.4,6527.5369,128.3576172,81678051,5
Germany,1996,1070.54,7598.0736,130.6893986,81914831,5
Germany,1997,1033.63,8631.7003,125.9990108,82034771,5
Germany,1998,1018.27,9649.9683,124.1078382,82047195,5
Germany,1999,981.08,10631.0507,119.4978193,82100243,5
Germany,2000,969.07,11600.1246,117.875225,82211508,5
Germany,2001,984.35,12584.4776,119.5325922,82349925,5
Germany,2002,967.27,13551.7497,117.2612011,82488495,5
Germany,2003,967.92,14519.6741,117.2750546,82534176,5
Germany,2004,948.62,15468.2937,114.9615845,82516260,5
Germany,2005,927.99,16396.2853,112.525343,82469422,5
Germany,2006,938.38,17334.6608,113.9136232,82376451,5
Germany,2007,905.9,18240.5621,110.1178985,82266372,5
Germany,2008,912.33,19152.8947,111.1105739,82110097,5
Germany,2009,854.83,20007.7209,104.3719074,81902307,5
Germany,2010,892.2,20899.9209,109.1016745,81776930,5
Germany,2011,863.88,21763.7997,105.6118063,81797673,5
Germany,2012,875.84,22639.6365,108.9003466,80425823,5
Germany,2013,894.06,23533.6935,108.8554769,82132753,5
India,1990,1188.84,1188.8433,13.65538221,870601776,3
India,1991,1244.36,2433.2016,14.00495866,888513869,3
India,1992,1276.45,3709.6532,14.08168135,906461358,3
India,1993,1310.13,5019.7843,14.17160121,924475633,3
India,1994,1357.71,6377.4922,14.40381853,942604211,3
India,1995,1421.67,7799.1615,14.79557723,960874982,3
India,1996,1475.74,9274.8967,15.06948247,979290432,3
India,1997,1532.49,10807.3885,15.3584236,997817250,3
India,1998,1563.06,12370.4469,15.37835035,1016402907,3
India,1999,1639.67,14010.1208,15.84258,1034976626,3
India,2000,1679.48,15689.601,15.94219436,1053481072,3
India,2001,1711.23,17400.8345,15.96463153,1071888190,3
India,2002,1741.99,19142.8245,15.97878375,1090189358,3
India,2003,1786.52,20929.3489,16.11845035,1108369577,3
India,2004,1883.26,22812.6082,16.71899589,1126419321,3
India,2005,1970.26,24782.8652,17.21764161,1144326293,3
India,2006,2068.22,26851.0841,17.79744268,1162088305,3
India,2007,2208.87,29059.9548,18.72422569,1179685631,3
India,2008,2309.65,31369.6003,19.29419157,1197070109,3
India,2009,2488.68,33858.2846,20.49675936,1214182182,3
India,2010,2592.81,36451.0902,21.06289715,1230984504,3
India,2011,2704.86,39155.9522,21.68318289,1247446011,3
India,2012,2831.36,41987.3078,22.40727458,1263589639,3
India,2013,2909.06,44896.3644,22.73593247,1279498874,3
Indonesia,1990,380.25,380.2543,20.95770847,181436821,10
Indonesia,1991,396.3,776.552,21.46632495,184614740,10
Indonesia,1992,414.63,1191.1812,22.08273164,187762097,10
Indonesia,1993,429.54,1620.7252,22.50393937,190873248,10
Indonesia,1994,444.7,2065.4278,22.9297825,193939912,10
Indonesia,1995,478.74,2544.1687,24.30672411,196957845,10
Indonesia,1996,494.84,3039.0075,24.75108179,199926615,10
Indonesia,1997,515.06,3554.0638,25.39069384,202853850,10
Indonesia,1998,523.52,4077.5822,25.44403948,205753493,10
Indonesia,1999,543.17,4620.7476,26.03332923,208644079,10
Indonesia,2000,538.88,5159.6276,25.47409047,211540428,10
Indonesia,2001,559.09,5718.7211,26.07108554,214448301,10
Indonesia,2002,567.72,6286.4409,26.11778923,217369087,10
Indonesia,2003,597.38,6883.8238,27.11569793,220307809,10
Indonesia,2004,606.24,7490.0653,27.1529442,223268606,10
Indonesia,2005,609.54,8099.6083,26.94043447,226254703,10
Indonesia,2006,632.33,8731.9377,27.58086988,229263980,10
Indonesia,2007,651.77,9383.7027,28.05763643,232296830,10
Indonesia,2008,655.53,10039.2367,27.85213585,235360765,10
Indonesia,2009,681.28,10720.5162,28.56937197,238465165,10
Indonesia,2010,695.42,11415.9343,28.78237667,241613126,10
Indonesia,2011,714.87,12130.8077,29.2012213,244808254,10
Indonesia,2012,721.88,12852.6846,29.10362234,248037853,10
Indonesia,2013,744.34,13597.0249,29.62331783,251268276,10
Iran,1990,250.58,250.5796,44.61164087,56169196,14
Iran,1991,291.35,541.9295,50.85703841,57288039,14
Iran,1992,310.81,852.7423,53.46799771,58130099,14
Iran,1993,310.65,1163.397,52.82098042,58811858,14
Iran,1994,343.26,1506.6552,57.68950362,59501292,14
Iran,1995,357.1,1863.7551,59.20227103,60318632,14
Iran,1996,369.1,2232.8576,60.20555818,61306632,14
Iran,1997,384.41,2617.2699,61.57842412,62426086,14
Iran,1998,390.26,3007.5253,61.34613953,63616065,14
Iran,1999,425.87,3433.3957,65.74060207,64780362,14
Iran,2000,442.73,3876.1249,67.23304224,65850062,14
Iran,2001,455.75,4331.8741,68.2130425,66812736,14
Iran,2002,476.19,4808.0594,70.34170968,67696677,14
Iran,2003,501.18,5309.2347,73.14139382,68522074,14
Iran,2004,535.36,5844.5945,77.22806078,69321953,14
Iran,2005,569.36,6413.951,81.19549731,70122115,14
Iran,2006,611.9,7025.8525,86.27646674,70923164,14
Iran,2007,645.02,7670.8718,89.93478452,71720859,14
Iran,2008,654.02,8324.8967,90.17148092,72530693,14
Iran,2009,673.71,8998.6106,91.82240467,73370982,14
Iran,2010,673.48,9672.0908,90.70025681,74253373,14
Iran,2011,684.56,10356.6512,91.05089755,75184322,14
Iran,2012,662.03,11018.6779,86.92966074,76156975,14
Iran,2013,716.81,11735.4928,92.90826752,77152445,14
Iraq,1990,155.78,155.784,89.12687077,17478455,29
Iraq,1991,124.06,279.8408,69.10300721,17952909,29
Iraq,1992,134.34,414.1829,72.73998822,18468521,29
Iraq,1993,146.18,560.3645,76.84799369,19021967,29
Iraq,1994,146.07,706.4306,74.49930241,19606895,29
Iraq,1995,130.95,837.3831,64.76978977,20217759,29
Iraq,1996,147.51,984.8968,70.72985578,20855408,29
Iraq,1997,180.74,1165.6373,83.98950229,21519356,29
Iraq,1998,161.89,1327.5248,72.92068069,22200835,29
Iraq,1999,160.33,1487.8521,70.04797148,22888600,29
Iraq,2000,185.52,1673.3731,78.69436246,23574751,29
Iraq,2001,191.89,1865.2659,79.10121171,24258794,29
Iraq,2002,179.21,2044.4713,71.84552887,24943793,29
Iraq,2003,165.45,2209.9215,64.55218497,25630426,29
Iraq,2004,164.5,2374.4207,62.49874148,26320530,29
Iraq,2005,173.38,2547.7986,64.17271751,27017712,29
Iraq,2006,173.89,2721.6845,62.7377085,27716983,29
Iraq,2007,172.16,2893.8414,60.56951812,28423538,29
Iraq,2008,185.96,3079.803,63.76501556,29163327,29
Iraq,2009,213.48,3293.2854,71.2297244,29970634,29
Iraq,2010,231.32,3524.6042,74.93806886,30868156,29
Iraq,2011,246.58,3771.1833,77.3760112,31867758,29
Iraq,2012,270.17,4041.3561,81.97496773,32957622,29
Iraq,2013,284.57,4325.924,83.43359027,34107366,29
Italy,1990,491.02,491.0188,86.57027139,56719240,12
Italy,1991,489.21,980.2253,86.19146366,56758521,12
Italy,1992,486.96,1467.1818,85.7367914,56797087,12
Italy,1993,479.62,1946.7968,84.39286153,56831821,12
Italy,1994,474.8,2421.6002,83.52772705,56843400,12
Italy,1995,497.68,2919.2826,87.55142974,56844303,12
Italy,1996,496.24,3415.5244,87.27357503,56860281,12
Italy,1997,500.21,3915.7307,87.92524682,56890372,12
Italy,1998,512.84,4428.5734,90.11937144,56906744,12
Italy,1999,521.03,4949.6019,91.54316854,56916317,12
Italy,2000,525.61,5475.2164,92.30603124,56942108,12
Italy,2001,521.99,5997.208,91.61882329,56974100,12
Italy,2002,531.85,6529.0533,93.21052503,57059007,12
Italy,2003,549.7,7078.7563,95.91158254,57313203,12
Italy,2004,560.69,7639.4506,97.1980275,57685327,12
Italy,2005,558.2,8197.6474,96.29204221,57969484,12
Italy,2006,552.54,8750.1829,95.02961605,58143979,12
Italy,2007,542.72,9292.9053,92.87058438,58438310,12
Italy,2008,525.47,9818.3768,89.32503831,58826731,12
Italy,2009,473.74,10292.1202,80.16533953,59095365,12
Italy,2010,479.11,10771.2302,80.82504675,59277417,12
Italy,2011,470.58,11241.8052,79.24964073,59379449,12
Italy,2012,451.31,11693.1189,75.79982283,59539717,12
Italy,2013,420.82,12113.9433,69.86425661,60233948,12
Japan,1990,1171.04,1171.0379,94.79265321,123537000,4
Japan,1991,1178.61,2349.6506,95.10978769,123921000,4
Japan,1992,1191.2,3540.8524,95.88743369,124229000,4
Japan,1993,1185.38,4726.236,95.18372198,124536000,4
Japan,1994,1238.92,5965.152,99.14453309,124961000,4
Japan,1995,1252.05,7217.202,99.81345515,125439000,4
Japan,1996,1266.55,8483.7566,100.7140756,125757000,4
Japan,1997,1259.31,9743.0695,99.90004522,126057000,4
Japan,1998,1224.82,10967.8929,96.90031646,126400000,4
Japan,1999,1264.85,12232.7463,99.88470438,126631000,4
Japan,2000,1280.9,13513.6437,100.9831051,126843000,4
Japan,2001,1266.23,14779.875,99.58631212,127149000,4
Japan,2002,1300.42,16080.2907,102.0377418,127445000,4
Japan,2003,1304.29,17384.5799,102.1226452,127718000,4
Japan,2004,1298.75,18683.3331,101.654652,127761000,4
Japan,2005,1303.41,19986.7449,102.0098143,127773000,4
Japan,2006,1287.68,21274.4201,100.7148779,127854000,4
Japan,2007,1330.24,22604.659,103.9241881,128001000,4
Japan,2008,1241.16,23845.8161,96.91792321,128063000,4
Japan,2009,1175.91,25021.7296,91.83424836,128047000,4
Japan,2010,1225.84,26247.5745,95.71640509,128070000,4
Japan,2011,1281.11,27528.6854,100.2297991,127817277,4
Japan,2012,1328.29,28856.9765,104.1293897,127561489,4
Japan,2013,1353.35,30210.3238,106.279618,127338621,4
"Korea, Rep. (South)",1990,290.73,290.7325,67.81778925,42869283,13
"Korea, Rep. (South)",1991,315.4,606.1327,72.84787424,43295704,13
"Korea, Rep. (South)",1992,340.55,946.6798,77.84362618,43747962,13
"Korea, Rep. (South)",1993,369.31,1315.9849,83.56445494,44194628,13
"Korea, Rep. (South)",1994,395.67,1711.6514,88.63269502,44641540,13
"Korea, Rep. (South)",1995,427.97,2139.6177,94.90831957,45092991,13
"Korea, Rep. (South)",1996,456.52,2596.1388,100.2796703,45524681,13
